id,title,link,content,gold_label
0,'باہوبلی 2' کے اداکار 47 سال کی عمر میں شادی کے بندھن میں بندھ گئے,https://www.express.pk/story/2735199/bahubali2-ke-actor-shadi-ke-bandhan-me-bandh-gaye-2735199/,"بالی ووڈ اور ساؤتھ انڈین فلم انڈسٹری کے معروف اداکار سببرجو نے شادی کرلی ہے۔ 47 سالہ اداکار نے انسٹاگرام پر اپنی شادی کی تصویر شیئر کرکے مداحوں کو خوشخبری دی۔ تصویر میں سببرجو اور ان کی اہلیہ روایتی بھارتی لباس میں ساحل سمندر کے قریب کھڑے نظر آرہے ہیں۔ تصویر میں سببرجو نے ہاتھی دانت رنگ کی دھوتی اور کرتا زیب تن کیا جبکہ ان کی اہلیہ نے سرخ سلک کی ساڑھی اور سنہری زیورات کے ساتھ اپنے لباس کو مکمل کیا۔ دونوں نے ایک جیسا کالے رنگ کا چشمہ پہنا ہوا تھا، جس نے ان کے انداز کو مزید منفرد بنایا۔ سببرجو نے تصویر کے کیپشن میں لکھا، ""آخر کار بندھن میں بندھ گیا!"" سببرجو کے ساتھی اداکاروں اور فلمی دنیا کے افراد نے ان کی شادی پر مبارکباد دی۔ ڈائریکٹر حریش شنکر نے لکھا، ""مبارک ہو سببرجو... شادی شدہ زندگی خوشیوں سے بھرپور ہو!"" جبکہ اداکار ابھنیا کرشنا نے کہا، ""بالآخر! مبارک ہو انّا۔"" سببرجو کا تعلق بھارتی ریاست آندھرا پردیش کے علاقے بھیم ورم سے ہے۔ انہوں نے اپنے فلمی کیریئر کا آغاز 2003 کی فلم 'اما نانا او تملہ امائی' سے کیا۔ اس کے بعد وہ کئی مشہور فلموں جیسے 'آریہ'، 'پوکیری'، 'بِلا' اور 'کھلیجا' میں نظر آئے۔ سببرجو کو سب سے زیادہ شہرت فلم 'باہوبلی 2: دی کنکلوژن' میں کمار ورما کے کردار سے ملی۔ اس فلم میں ان کے ساتھ پربھاس اور انوشکا شیٹی نے مرکزی کردار ادا کیے۔ سببرجو نے تمل، تیلگو، ملیالم اور ہندی فلموں میں 100 سے زائد کردار نبھائے ہیں۔ ان کی آخری فلم 'جتندر ریڈی' تھی جو 2024 میں ریلیز ہوئی۔",entertainment
1,نیٹ فلکس سیریز تنازع : دھنش نے نینتھارا کے خلاف مقدمہ دائر کردیا,https://www.express.pk/story/2735191/netflixseries-controversy-dhanush-ne-nyanthara-kekhilaf-case-kar-dia-2735191/,"تامل فلم انڈسٹری کے دو مشہور ستاروں، دھنش اور نینتھارا، کے درمیان تنازع شدت اختیار کرگیا ہے۔ دھنش نے مدراس ہائی کورٹ میں نینتھارا، ان کے شوہر وگنیش شیون، اور ان کی پروڈکشن کمپنی روڈی پکچرز پرائیویٹ لمیٹڈ کے خلاف مقدمہ دائر کیا ہے۔ دھنش کا دعویٰ ہے کہ نیٹ فلکس کی دستاویزی فلم ""نینتھارا: بیونڈ دی فیری ٹیل"" میں ان کی پروڈکشن فلم ""نانم روڈی دھن"" کے مناظر ان کی اجازت کے بغیر شامل کیے گئے۔ دھنش کی پروڈکشن کمپنی ونڈربر فلمز پرائیویٹ لمیٹڈ نے نیٹ فلکس کے مواد کی سرمایہ کاری کے بھارتی شاخ لاس گیٹوس پروڈکشن سروسز انڈیا ایل ایل پی پر بھی مقدمہ دائر کرنے کی اجازت طلب کی، جسے مدراس ہائی کورٹ نے منظور کرلیا۔ دھنش نے نینتھارا کو گزشتہ ہفتے ایک قانونی نوٹس کے ذریعے 24 گھنٹے کے اندر مواد ہٹانے کا مطالبہ کیا تھا۔ نوٹس میں کہا گیا تھا کہ اگر مواد نہیں ہٹایا گیا تو دھنش 10 کروڑ روپے ہرجانے کا دعویٰ کریں گے۔ نینتھارا نے دھنش کے اس اقدام کو انسٹاگرام پر سخت تنقید کا نشانہ بنایا اور اسے ""مایوس کن"" قرار دیا۔ انہوں نے شاہ رخ خان، چرنجیوی اور رام چرن سمیت دیگر پروڈیوسرز کا شکریہ ادا کیا جنہوں نے ان کی دستاویزی فلم کے لیے اپنے مناظر بلا جھجک استعمال کرنے کی اجازت دی۔",entertainment
2,گلیڈی ایٹر 2' نے باکس آفس پر تہلکہ مچایا، 106 ملین ڈالر کی کمائی,https://www.express.pk/story/2735188/gladiator2-ne-boxoffice-par-tehelka-macah-dia-106milliondollars-ka-business-2735188/,"ہالی وڈ کی دو بڑی فلموں، میوزیکل ایڈاپٹیشن ""وِکڈ"" اور ایکشن ایپک ""گلیڈی ایٹر 2"" نے ویک اینڈ پر عالمی سطح پر 270 ملین ڈالر کی شاندار کمائی کی، جو سینما گھروں کے لیے امید کی کرن ثابت ہو رہی ہے۔ یونیورسل پکچرز کی فلم ""وِکڈ"" نے 114ملین ڈالر شمالی امریکہ اور  50.2 ملین ڈالر عالمی مارکیٹس سے کمائے، جس کا کل عالمی باکس آفس 164.2 ملین رہا۔ یہ کسی بھی براڈوے میوزیکل پر مبنی فلم کا سب سے بڑا اوپننگ ویک اینڈ تھا۔ پیراماؤنٹ پکچرز کی فلم ""گلیڈی ایٹر 2"" نے عالمی سطح پر 106 ملین کمائے، جس میں 55.5 ملین صرف امریکی اور کینیڈین تھیٹرز سے حاصل ہوئے۔ اس فلم کی مجموعی عالمی کمائی اب 221 ملین ہو چکی ہے۔ یہ فلم 20 سال قبل آسکر ایوارڈ یافتہ فلم ""گلیڈی ایٹر"" کا سیکوئل ہے۔ دونوں فلموں نے مجموعی طور پر شمالی امریکہ کے سینما گھروں میں 169.5 ملین کمائے، جس کی بدولت ویک اینڈ کا باکس آفس 201.9 ملین تک پہنچ گیا، جو جولائی 2023 میں ""باربی"" اور ""اوپین ہائمر"" کی ریکارڈ اوپننگ کے بعد کا سب سے زیادہ رہا۔",entertainment
3,والد چنکی پانڈے طویل عرصے تک بےروزگار رہے، اننیا پانڈے کا انکشاف,https://www.express.pk/story/2735173/chinkypanday-taweel-arse-tak-berozgar-rahe-ananyapanday-ka-inkishaf-2735173/,"ممبئی - بالی وڈ اداکارہ اننیا پانڈے نے انکشاف کیا ہے کہ ان کے والد اور مشہور اداکار چنکی پانڈے نے اپنے کیریئر میں شدید مشکلات کا سامنا کیا۔ ایک حالیہ انٹرویو میں اننیا نے اپنے والد کے کیریئر کے نشیب و فراز اور ذاتی زندگی کے تجربات کو یاد کیا۔ اننیا پانڈے نے بتایا، ""میں اس وقت پیدا ہوئی جب والد کا کیریئر زوال کا شکار تھا۔ طویل عرصے تک میں نے انہیں گھر بیٹھے دیکھا۔ اس دور نے مجھے کامیابی اور ناکامی کے معنی سمجھنے میں مدد دی۔"" انہوں نے مزید کہا، ""میرے والد میری پیدائش سے قبل بالی وڈ کے بڑے اداکاروں میں شمار ہوتے تھے، لیکن بعد میں انہیں مختلف اور چھوٹے کردار کرنے پڑے۔"" ان کا کہنا تھا کہ چنکی پانڈے کی اداکاری میں تنوع ان کے لیے ایک متاثر کن پہلو رہا۔ اننیا نے شکوہ کیا کہ ان کے والد کو کبھی معروف چیٹ شو ""کافی ود کرن"" میں مدعو نہیں کیا گیا۔ ""یہ سب دیکھ کر میں نے سیکھا کہ کیریئر کے اتار چڑھاؤ کو اپنانا کتنا ضروری ہے۔""",entertainment
4,رشی کپور نے فلم ’برفی‘ پر بیٹے رنبیر کو کیا مشورہ دیا تھا؟,https://www.express.pk/story/2735167/rishikapoor-ne-film-barfi-par-bete-ranbir-ko-kia-mashwara-dia-2735167/,"ممبئی - آنجہانی اداکار رشی کپور نے اپنی صاف گوئی اور بیٹے رنبیر کپور کے فلمی انتخاب پر بےباک رائے دینے کے لیے مشہور تھے۔ رنبیر نے انکشاف کیا ہے کہ ان کے والد نے نہ صرف ان کی پہلی فلم سانوریا کی ناکامی کی پیشگوئی کی تھی بلکہ برفی جیسی کامیاب فلم پر بھی تنقید کی تھی۔ ایک تقریب کے دوران رنبیر نے بتایا کہ ان کے والد نے فلم برفی دیکھنے کے بعد فون پر کہا، ""رنبیر، تم اداکاری اچھی کرلیتے ہو لیکن یہ آرٹ فلمیں کرنا بند کرو۔"" رنبیر نے بتایا کہ ان کے والد فلم سانوریا کے سیٹ پر آئے تو انہوں نے سوالات کی بھرمار کردی۔ ""انہوں نے پوچھا سیٹ پر اتنی کھڑکیاں کیوں ہیں؟ فریم میں زیادہ لوگ کیوں نہیں؟""اس کے بعد انہوں نے کار میں بیٹھ کر میری والدہ سے کہا، ""یہ فلم نہیں چلے گی۔"" رنبیر کا کہنا تھا کہ ان کے والد سامعین کی پسند کو بخوبی سمجھتے تھے اور ان کے اندازے اکثر درست ثابت ہوتے تھے۔ وہ ہمیشہ فلموں کی کہانی کو مکمل طور پر جاننا چاہتے تھے اور اسی بنیاد پر مشورے دیتے تھے۔",entertainment
5,"شاہ رخ خان  کا انکشاف : ""میں بالی وڈ کو چھوڑنے کے قریب تھا!""",https://www.express.pk/story/2735166/shahrukhkhan-ka-inkishaf-main-bollywood-chorne-ke-qarib-tha-2735166/,"دبئی - بالی وڈ کے کنگ شاہ رخ خان نے انکشاف کیا ہے کہ ان کے کیریئر میں ایک ایسا وقت بھی آیا جب وہ فلم انڈسٹری کو خیرباد کہنے کا فیصلہ کر چکے تھے۔ دبئی میں منعقدہ گلوبل فریٹ سمٹ کے دوران شاہ رخ نے اپنے کیریئر کے آغاز اور مشکلات سے پردہ اٹھایا۔ شاہ رخ خان نے بتایا، ""جب میں سیٹ پر آیا تو مجھے لگا کہ میں ایک بہترین اداکار ہوں، لیکن جلد ہی احساس ہوا کہ سیٹ پر موجود ہر شخص مجھ سے بہتر جانتا ہے کہ اداکاری کیسے کی جاتی ہے۔"" اداکار نے مزید انکشاف کیا، ""مجھے لگا کہ میں ناکام ہوں اور دہلی واپسی کے لیے فلائٹ بک کروالی۔ انٹرنیشنل فلائٹ 25 فیصد سستی تھی اور مہنگی فلائٹ افورڈ نہیں کرسکتا تھا۔""شاہ رخ نے کہا کہ وہ گھر واپس جا کر اپنی زندگی نئے سرے سے شروع کرنا چاہتے تھے۔ شاہ رخ خان نے کہا، ""ہر دن مجھے یہ احساس ہوتا ہے کہ ابھی بہت کچھ سیکھنا باقی ہے۔ کیریئر کے 35 سالوں میں جب بھی سیٹ پر گیا، یہ احساس ہوا کہ میں خود کو بہتر کیسے بنا سکتا ہوں۔""",entertainment
6,3 شادیاں کرنے والی ریحام خان نے ہانیہ عامر کو شادی نہ کرنے کا مشورہ کیوں دیا؟,https://www.express.pk/story/2735145/why-did-reham-khan-who-had-3-marriages-advise-hania-aamir-not-to-marry-2735145/,پی ٹی آئی کے بانی عمران خان کی سابقہ اہلیہ کا کہنا ہے کہ لڑکیوں کو اپنی شادی کا فیصلہ لینے میں جلد بازی نہیں کرنی چاہیئے۔ ریحام خان نے حال ہی میں اداکارہ ہانیہ عامر کو شادی نہ کرنے کا مشورہ دیا ہے اور ساتھ ہی اس پر وضاحت بھی پیش کی ہے۔ ان کا کہنا تھا کہ لڑکیوں کو شادی کے فیصلے کیلئے جلد بازی نہیں کرنی چاہیے اور پہلے اپنے کیریئر پر توجہ دینی چاہیے۔ ریحام نے مزید کہا کہ وہ اپنی بیٹیوں کو بھی یہی نصیحت کرتی ہیں کہ پہلے خود کو مضبوط کریں کسی قابل بنیں اور پھر شادی کا فیصلہ کریں۔ ریحام خان نے کہا کہ کئی لڑکیاں یہ سوچتی ہیں کہ شادی انہیں آزادی دے گی لیکن حقیقت میں ایسا نہیں ہوتا بلکہ لڑکیاں شادی کے بعد زیادہ قید ہوجاتی ہیں۔ ان کے مطابق شادی کوئی ضرورت نہیں بلکہ ایک چوائس ہونی چاہیے، اور دباؤ کے تحت شادی کرنا درست نہیں کیونکہ ہمیشہ اچھا جیون ساتھی ملنے کی کوئی ضمانت نہیں ہوتی۔ عمران خان کی سابقہ اہلیہ نے یہ بھی کہا کہ شادی کا دباؤ صرف خواتین پر نہیں بلکہ مردوں پر بھی ہوتا ہے، اس لیے دونوں کو یہ دباؤ نہیں لینا چاہیے۔ والدین کے حوالے سے انہوں نے کہا کہ بیٹیاں بوجھ نہیں ہوتیں اور والدین کو چاہیے کہ انہیں تعلیم اور ہنر سکھائیں تاکہ وہ مالی طور پر مستحکم رہ سکیں۔ ریحام خان نے والدین کو خبردار کیا کہ طلاق یا دیگر مشکلات کی صورت میں لڑکیوں کا بوجھ والدین پر بھی آ سکتا ہے اس لیے لڑکیوں کو خود مختار بنانا ضروری ہے۔,entertainment
7,شوہر سے طلاق کے بعد جھوٹی افواہیں پھیلائی گئیں، سمانتھا پربھو,https://www.express.pk/story/2735143/false-rumors-spread-after-divorce-from-husband-samantha-prabhu-2735143/,تامل فلموں کی سپر اسٹار سمانتھا رتھ پربھو نے اپنے سابق شوہر، اداکار ناگا چیتنیا سے طلاق کے معاملے پر خاموشی توڑ دی ہے۔ بھارتی میڈیا رپورٹس کے مطابق 37 سالہ سمانتھا اور 38 سالہ ناگا چیتنیا کی شادی 2017 میں ہوئی تھی تاہم 2021 میں دونوں نے علیحدگی اختیار کرلی تھی جس پر اس معروف جوڑی کے مداح بھی افسردہ تھے۔ سمانتھا سے طلاق کے بعد تامل فلموں کے اداکار ناگا چیتنیا نے سوبھیتا دھولیپالا کے ساتھ شادی کی تیاری شروع کردی ہے جس کی تصاویر بھی سوشل میڈیا پر وائرل ہو رہی ہیں، بھارتی میڈیا کا دعویٰ ہے کہ یہ جوڑا 4 دسمبر کو ازدواجی بندھن میں بندھنے والا ہے۔ ایک حالیہ انٹرویو میں سمانتھا نے طلاق کے بعد ہونے والی شدید تنقید اور افواہوں کے بارے میں بات کی ہے اور اس کا بھرپور جواب دیا ہے۔ انہوں نے کہا کہ طلاق کے بعد خواتین کو زیادہ چیلنجز کا سامنا کرنا پڑتا ہے کیونکہ معاشرہ بے رحم رویوں کا حامل ہے، جہاں عورتوں پر ہی سوال اٹھائے جاتے ہیں اور خواتین کو طلاق کے بعد لوگوں کی جانب سے شرمناک رویوں کا سامنا کرنا پڑتا ہے۔ سمانتھا نے اپنی طلاق کے بعد اپنے متعلق پھیلائی جانے والی جھوٹی خبروں کی تردید کرتے ہوئے کہا کہ ان کے بارے میں بہت سی غلط باتیں کی گئیں۔ اداکارہ کا کہنا تھا کہ انہیں آج بھی وہ افواہیں یاد ہیں، لیکن جھوٹ کے جواب دینے کا کوئی فائدہ نہیں ہوتا۔ انہوں نے مزید کہا کہ اس مشکل وقت میں انہوں نے اپنی سچائی صرف اپنے قریبی لوگوں تک محدود رکھی، کیونکہ انہیں اپنے خاندان اور دوستوں کا اعتماد حاصل تھا۔ یاد رہے کہ سمانتھا شوہر سے علیحدگی کے بعد اکثر افسردہ نظر آتی ہیں اور اب سابق شوہر کی شادی کی خبروں نے انہیں جس مشکل میں ڈال دیا ہے اس کی جھلک سوشل میڈیا پر ان کی اسٹوری پر دکھائی دیتی ہے۔,entertainment
8,معروف بھارتی ہدایتکار کا بیٹا کار حادثے میں ہلاک,https://www.express.pk/story/2735137/the-son-of-a-famous-indian-director-died-in-harise-2735137/,معروف بالی ووڈ ہدایتکار اشونی دھیر کا بیٹا خطرناک روڈ حادثے کا شکار ہوکر ہلاک ہوگیا۔ بھارتی میڈیا کے مطابق 18 سالہ جلاج دھیر، 23 نومبر کو ممبئی کے وِلے پارلے ہائی وے پر ہونے والے ایک خطرناک کار حادثے میں جان کی بازی ہار گیا، حادثے میں جلاج کے ساتھ اس کا ایک دوست، سارتھک کوشک بھی ہلاک ہوا جبکہ کار میں موجود دیگر دو افراد شدید زخمی ہوئے ہیں۔ بتایا جارہا ہے کہ ہدایتکار کا بیٹا جلاج اور ان کے دوست گورے گاؤں ایسٹ میں ایک پارٹی کے بعد صبح تین بجے ڈرائیو پر نکلے جہاں تیز رفتاری کے باعث گاڑی کو حادثہ پیش آیا۔ گاڑی 120-150 کلومیٹر فی گھنٹہ کی رفتار سے چلائی جارہی تھی جبکہ  ڈرائیور ساحل میندھا مبینہ طور پر نشے کی حالت میں تھا جو تیز رفتاری اور نشے میں ہونے کے باعث گاڑی پر کنٹرول کھو بیٹھا اور گاڑی روڑ پر موجود ڈیوائیڈر سے ٹکرا گئی۔ حادثے کے بعد اس کے ساتھ موجود ایک دوست جِمی نے پولیس کو اطلاع دی جہاں جائے وقوعہ پر پہنچ کر پولیس نے ڈرائیور ساحل کو حراست میں لے لیا۔ یاد رہے کہ اشونی دھیر نے ’عطیتھی تم کب جاوگے’ اور ’سن آف سردار‘ جیسی فلموں کی ہدایتکاری کی ہے۔ جلاج اپنے والد کے ساتھ ان کی نئی فلم ’حساب برابر‘ کی گوا میں انٹرنیشنل فلم فیسٹیول آف انڈیا میں اسکریننگ کے لیے جانے والے تھے۔,entertainment
9,بریڈ پٹ بچوں سے ملاقات کیلئے انجلینا جولی کے سامنے درخواست کرنے پر مجبور ہوگئے,https://www.express.pk/story/2735123/brad-pitt-was-forced-to-plead-with-angelina-jolie-to-meet-the-children-2735123/,ہالی ووڈ کے مشہور اداکار بریڈ پٹ سابقہ اہلیہ اور عالمی شہرت یافتہ اداکارہ انجلینا جولی سے اپنے چھ بچوں سے ملاقات کے لیے درخواست کرنے پر مجبور ہو گئے ہیں۔ غیر ملکی میڈیا رپورٹس کے مطابق انجلینا نے بریڈ کو ان کے بچوں میڈوکس، پیکس، زہارا، شایلو اور 16 سالہ جڑواں بچے نوکس اور ویوان سے دور کر دیا ہے۔ اداکار کے ایک ذرائع نے غیر ملکی میڈیا کو بتایا کہ بریڈ نے اپنے بچوں کے لیے ہار نہیں مانی لیکن انجلینا سے علیحدگی نے ان کیلئے صورت حال کو بہت مشکل بنا دیا ہے جتنا وقت گزر رہا ہے، ان کیلئے یہ دکھ بڑھتا جا رہا ہے۔ رپورٹس کے مطابق 60 سالہ بریڈ پٹ کا اپنے بچوں کے ساتھ تعلقات پیچیدہ ہیں جبکہ انجلینا کے ساتھ قانونی جنگ تاحال جاری ہے۔ یہی نہیں بلکہ بریڈ پٹ کو یہ بات بھی شدید غم میں مبتلا کر رہی ہے کہ ان کے بچوں نے والد کے نام کو اپنے نام سے ترک کردیا ہے ان کے ایک بچے شایلو نے باضابطہ طور پر اپنا نام تبدیل کرنے کے لیے عدالت سے رجوع بھی کیا ہے۔ فی الحال صرف سب سے چھوٹے دو جڑواں بچے ویوین اور نوکس اپنے والد کے ساتھ ملاقات کرتے ہیں جبکہ باقی بچوں اور بریڈ کے درمیان رنجشیں تاحال برقرار ہیں۔ دوسری جانب انجلینا نے ایک حالیہ انٹرویو میں کہا ہے کہ ان کے لیے ’ماں ہونا سب سے اہم ہے‘ اور وہ اپنی زندگی میں سب سے زیادہ خوشی اپنے بچوں میں پاتی ہیں یہی وجہ ہے کہ بچوں کیلئے کچھ بھی کر سکتی ہیں۔,entertainment
